date,time,datetime,clock_in,clock_out
2023-08-01,00:11:57.099925,2023-08-01 00:11:57.099925,false,true
2023-08-01,00:11:55.327475,2023-08-01 00:11:55.327475,true,false
2023-08-01,02:09:37.164332,2023-08-01 02:09:37.164332,true,false
2023-08-01,02:11:28.509304,2023-08-01 02:11:28.509304,false,true
2023-10-23,14:15:03.256490,2023-10-23 14:15:03.256490,true,false
2023-10-23,14:15:06.210184,2023-10-23 14:15:06.210184,false,true
2024-03-09,19:49:31.622294,2024-03-09 19:49:31.622294,true,false
2024-03-09,19:49:33.228600,2024-03-09 19:49:33.228600,false,true
2024-03-09,19:49:45.561031,2024-03-09 19:49:45.561031,true,false
2024-03-09,19:57:12.023139,2024-03-09 19:57:12.023139,false,true
2024-03-09,19:57:14.442239,2024-03-09 19:57:14.442239,true,false
2024-03-09,19:57:15.394918,2024-03-09 19:57:15.394918,false,true
2024-03-09,20:00:55.010575,2024-03-09 20:00:55.010575,true,false
2024-03-09,20:01:21.435464,2024-03-09 20:01:21.435464,false,true
2024-03-09,20:06:07.384113,2024-03-09 20:06:07.384113,true,false
